,0,1,2,3,4
0,2021-05-26,50,21,6,1.13
1,2021-05-25,11,7,17,-0.057
2,2021-05-24,11,1,0,1.458
3,2021-05-23,1,1,0,1.25
4,2021-05-22,1,0,0,1.5
5,2021-05-21,4,4,1,0.944
6,2021-05-20,5,5,3,0.615
7,2021-05-19,4,3,1,0.938
8,2021-05-18,22,5,4,1.032
9,2021-05-17,20,4,2,1.192
10,2021-05-16,1,1,0,1.25
11,2021-05-15,1,1,0,1.25
12,2021-05-14,12,0,1,1.269
13,2021-05-13,22,5,1,1.304
14,2021-05-12,23,6,0,1.397
15,2021-05-11,4,2,1,0.929
16,2021-05-10,6,5,5,0.406
17,2021-05-09,0,1,2,-0.667
18,2021-05-08,2,1,0,1.333
19,2021-05-07,9,4,5,0.556
20,2021-05-06,7,5,0,1.292
21,2021-05-05,11,4,0,1.367
22,2021-05-04,6,3,1,1.05
23,2021-05-03,16,1,0,1.471
24,2021-05-02,1,2,0,1.167
25,2021-05-01,6,0,0,1.5
26,2021-04-30,27,7,0,1.397
27,2021-04-29,43,10,1,1.352
28,2021-04-28,10,10,0,1.25
29,2021-04-27,20,4,1,1.3
30,2021-04-26,10,3,1,1.179
31,2021-04-25,2,2,1,0.7
32,2021-04-23,2,4,2,0.5
33,2021-04-22,7,2,0,1.389
34,2021-04-21,19,3,0,1.432
35,2021-04-20,12,1,0,1.462
36,2021-04-19,14,5,9,0.446
37,2021-04-18,1,1,0,1.25
38,2021-04-17,1,1,0,1.25
39,2021-04-16,4,4,1,0.944
40,2021-04-15,11,20,2,1.015
41,2021-04-14,4,2,2,0.625
42,2021-04-13,2,1,1,0.625
43,2021-04-12,4,1,2,0.571
44,2021-04-11,1,1,0,1.25
45,2021-04-10,2,1,0,1.333
46,2021-04-09,20,7,8,0.714
47,2021-04-08,15,11,1,1.185
48,2021-04-07,4,6,0,1.2
49,2021-04-06,6,9,2,0.882
50,2021-02-10,2,4,2,0.5
51,2021-02-09,5,1,2,0.688
52,2021-02-08,8,3,0,1.364
53,2021-02-07,1,8,0,1.056
54,2021-02-06,4,6,0,1.2
55,2021-02-05,8,10,3,0.833
56,2021-02-04,10,6,3,0.868
57,2021-02-03,38,36,4,1.115
58,2021-02-02,34,49,11,0.888
59,2021-02-01,14,4,0,1.389
60,2021-01-31,1,2,0,1.167
61,2021-01-30,2,1,0,1.333
62,2021-01-29,3,2,0,1.3
63,2021-01-28,4,1,0,1.4
64,2021-01-27,4,2,4,0.2
65,2021-01-26,10,2,5,0.559
66,2021-01-25,4,3,1,0.938
67,2021-01-24,3,3,0,1.25
68,2021-01-23,1,1,1,0.333
69,2021-01-22,6,4,2,0.833
70,2021-01-21,12,4,2,1.056
