,0,1,2,3,4
0,2021-07-24,1,0,0,1.5
1,2021-07-23,12,6,7,0.54
2,2021-07-22,4,4,1,0.944
3,2021-07-21,3,2,2,0.5
4,2021-07-20,3,2,8,-0.423
5,2021-07-19,2,4,2,0.5
6,2021-07-18,1,0,2,-0.5
7,2021-07-17,0,0,1,-1.5
8,2021-07-16,2,0,5,-0.643
9,2021-07-15,2,3,2,0.429
10,2021-07-14,3,6,13,-0.409
11,2021-07-13,0,0,2,-1.5
12,2021-07-12,3,0,5,-0.375
13,2021-07-11,3,0,0,1.5
14,2021-07-09,3,1,14,-0.861
15,2021-07-08,2,0,3,-0.3
16,2021-07-07,3,0,4,-0.214
17,2021-07-06,2,2,1,0.7
18,2021-07-05,3,0,5,-0.375
19,2021-07-04,1,0,0,1.5
20,2021-07-03,1,0,2,-0.5
21,2021-07-02,2,2,5,-0.278
22,2021-07-01,4,0,2,0.5
23,2021-06-30,7,2,0,1.389
24,2021-06-29,23,9,3,1.114
25,2021-06-28,35,2,4,1.183
26,2021-06-27,2,0,0,1.5
27,2021-06-25,2,2,0,1.25
28,2021-06-24,7,1,3,0.636
29,2021-06-23,5,3,6,0.107
30,2021-06-22,4,1,4,0.111
31,2021-06-21,6,2,2,0.8
32,2021-06-19,1,0,0,1.5
33,2021-06-18,4,0,2,0.5
34,2021-06-17,9,3,3,0.8
35,2021-06-16,4,0,3,0.214
36,2021-06-15,7,1,5,0.308
37,2021-06-14,5,2,4,0.318
38,2021-06-13,1,1,0,1.25
39,2021-06-12,0,0,3,-1.5
40,2021-06-11,4,2,14,-0.65
41,2021-06-10,6,4,6,0.25
42,2021-06-09,7,2,7,0.125
43,2021-06-08,6,1,0,1.429
44,2021-06-07,3,9,2,0.75
45,2021-06-06,2,0,1,0.5
46,2021-06-05,1,0,2,-0.5
47,2021-06-04,3,0,22,-1.14
48,2021-06-03,2,2,0,1.25
49,2021-06-02,6,0,1,1.071
50,2021-06-01,3,1,0,1.375
51,2021-05-31,1,1,1,0.333
52,2021-05-30,1,0,0,1.5
53,2021-05-29,1,1,0,1.25
54,2021-05-28,5,1,1,1.0
55,2021-05-27,4,0,1,0.9
56,2021-05-26,4,4,14,-0.5
57,2021-05-25,4,3,3,0.45
58,2021-05-24,5,3,1,1.0
59,2021-05-23,1,0,1,0.0
60,2021-05-21,4,0,0,1.5
61,2021-05-20,2,2,2,0.333
62,2021-05-19,4,1,0,1.4
63,2021-05-18,2,0,2,0.0
64,2021-05-17,3,0,2,0.3
65,2021-05-16,1,0,0,1.5
66,2021-05-15,0,0,1,-1.5
67,2021-05-14,1,2,8,-0.773
68,2021-05-13,2,1,0,1.333
69,2021-05-12,7,0,2,0.833
70,2021-05-11,3,0,4,-0.214
71,2021-05-10,0,2,13,-1.167
72,2021-05-09,0,1,0,1.0
73,2021-05-08,1,0,0,1.5
74,2021-05-07,1,5,1,0.714
75,2021-05-06,3,1,2,0.417
76,2021-05-05,10,9,4,0.783
77,2021-05-04,5,0,0,1.5
78,2021-05-03,8,0,0,1.5
79,2021-05-02,4,1,0,1.4
80,2021-05-01,1,2,0,1.167
81,2021-04-30,9,2,0,1.409
82,2021-04-29,31,5,2,1.276
83,2021-04-28,24,7,0,1.387
84,2021-04-27,9,3,4,0.656
85,2021-04-26,6,2,3,0.591
86,2021-04-25,3,1,0,1.375
87,2021-04-24,1,0,0,1.5
88,2021-04-23,8,2,0,1.4
89,2021-04-22,3,3,0,1.25
90,2021-04-21,4,2,0,1.333
91,2021-04-20,5,0,0,1.5
92,2021-04-19,15,1,1,1.294
93,2021-04-17,0,1,0,1.0
94,2021-04-16,2,1,1,0.625
95,2021-04-15,7,3,4,0.536
96,2021-04-14,0,1,5,-1.083
97,2021-04-13,5,4,1,1.0
98,2021-04-12,1,1,1,0.333
99,2021-04-11,1,0,0,1.5
100,2021-04-09,1,5,1,0.714
101,2021-04-08,2,3,3,0.188
102,2021-04-07,6,2,5,0.269
103,2021-04-06,5,3,5,0.231
104,2021-04-05,11,1,3,0.867
105,2021-04-04,3,0,6,-0.5
106,2021-04-03,1,0,6,-1.071
107,2021-04-01,3,1,7,-0.455
108,2021-03-31,2,4,0,1.167
109,2021-03-30,2,4,0,1.167
110,2021-03-29,11,1,1,1.231
111,2021-03-28,1,0,0,1.5
112,2021-03-27,1,0,0,1.5
113,2021-03-26,5,2,1,1.0
114,2021-03-25,3,11,11,-0.04
115,2021-03-24,0,11,5,0.219
116,2021-03-23,4,4,2,0.7
117,2021-03-22,2,4,2,0.5
118,2021-03-21,3,0,2,0.3
119,2021-03-20,1,0,0,1.5
120,2021-03-19,12,0,8,0.3
121,2021-03-18,7,2,1,1.1
122,2021-03-17,1,1,0,1.25
123,2021-03-16,7,0,0,1.5
124,2021-03-15,5,5,0,1.25
125,2021-03-12,4,3,2,0.667
126,2021-03-11,5,1,1,1.0
127,2021-03-10,3,1,9,-0.615
128,2021-03-09,5,4,0,1.278
129,2021-03-08,3,2,0,1.3
130,2021-03-07,1,0,1,0.0
131,2021-03-05,1,1,1,0.333
132,2021-03-04,4,1,0,1.4
133,2021-03-03,2,5,1,0.813
134,2021-03-02,3,5,0,1.188
135,2021-03-01,5,4,1,1.0
136,2021-02-28,1,3,2,0.25
137,2021-02-27,1,5,3,0.222
138,2021-02-26,1,3,1,0.6
139,2021-02-25,7,10,3,0.8
140,2021-02-24,1,10,6,0.147
141,2021-02-23,21,6,1,1.286
142,2021-02-22,3,3,9,-0.4
143,2021-02-21,0,0,2,-1.5
144,2021-02-20,2,0,1,0.5
145,2021-02-19,1,12,9,0.0
146,2021-02-18,3,11,37,-0.784
147,2021-02-17,2,6,15,-0.587
148,2021-02-16,4,2,3,0.389
149,2021-02-15,1,1,1,0.333
150,2021-02-14,0,1,1,-0.25
151,2021-02-13,0,0,1,-1.5
152,2021-02-12,6,2,5,0.269
153,2021-02-11,2,1,1,0.625
154,2021-02-10,2,2,3,0.071
155,2021-02-09,3,3,2,0.563
156,2021-02-08,2,0,1,0.5
157,2021-02-07,2,0,0,1.5
158,2021-02-06,1,1,1,0.333
159,2021-02-05,3,2,2,0.5
160,2021-02-04,4,0,7,-0.409
161,2021-02-03,1,2,2,0.1
162,2021-02-02,6,2,1,1.056
163,2021-02-01,5,1,2,0.688
164,2021-01-31,1,0,1,0.0
165,2021-01-30,0,0,4,-1.5
166,2021-01-29,5,3,5,0.231
167,2021-01-28,10,6,15,-0.048
168,2021-01-27,13,17,5,0.829
169,2021-01-26,6,6,1,1.038
170,2021-01-25,5,5,2,0.792
171,2021-01-24,2,1,1,0.625
172,2021-01-23,0,0,3,-1.5
173,2021-01-22,4,3,3,0.45
174,2021-01-21,6,3,2,0.818
175,2021-01-20,4,0,4,0.0
176,2021-01-19,5,3,4,0.375
177,2021-01-18,1,3,6,-0.45
178,2021-01-16,0,1,1,-0.25
179,2021-01-15,5,3,2,0.75
180,2021-01-14,0,0,4,-1.5
181,2021-01-13,3,1,5,-0.222
182,2021-01-12,7,3,3,0.692
183,2021-01-11,4,2,9,-0.367
184,2021-01-09,0,1,0,1.0
185,2021-01-08,2,0,1,0.5
186,2021-01-07,3,3,1,0.857
187,2021-01-06,2,2,9,-0.654
188,2021-01-05,2,2,2,0.333
189,2021-01-04,3,1,2,0.417
190,2021-01-02,1,0,0,1.5
191,2021-01-01,0,0,1,-1.5
192,2020-12-31,3,1,1,0.8
193,2020-12-30,1,1,0,1.25
194,2020-12-29,5,2,1,1.0
195,2020-12-28,3,1,2,0.417
196,2020-12-27,1,2,1,0.5
197,2020-12-26,1,0,0,1.5
198,2020-12-24,0,1,0,1.0
199,2020-12-23,2,0,5,-0.643
200,2020-12-22,7,15,1,1.043
201,2020-12-21,2,1,3,-0.083
202,2020-12-19,2,0,1,0.5
203,2020-12-18,4,0,1,0.9
204,2020-12-17,5,1,11,-0.471
205,2020-12-16,4,6,22,-0.656
206,2020-12-15,4,5,16,-0.52
207,2020-12-14,5,1,10,-0.406
208,2020-12-13,0,0,3,-1.5
209,2020-12-12,0,0,3,-1.5
210,2020-12-11,2,2,6,-0.4
211,2020-12-10,2,4,28,-1.029
