,0,1,2,3,4
0,2021-07-15,0,4,8,-0.667
1,2021-07-14,2,0,1,0.5
2,2021-07-13,3,2,0,1.3
3,2021-07-12,2,0,0,1.5
4,2021-07-11,0,0,1,-1.5
5,2021-07-10,0,0,1,-1.5
6,2021-07-09,0,2,4,-0.667
7,2021-07-08,1,2,5,-0.5
8,2021-07-07,4,1,5,-0.05
9,2021-07-06,4,3,0,1.286
10,2021-07-05,1,0,1,0.0
11,2021-07-02,2,0,1,0.5
12,2021-07-01,1,1,0,1.25
13,2021-06-30,1,0,1,0.0
14,2021-06-29,1,0,1,0.0
15,2021-06-28,2,5,0,1.143
16,2021-06-27,1,0,0,1.5
17,2021-06-26,0,0,1,-1.5
18,2021-06-25,0,0,1,-1.5
19,2021-06-24,3,2,1,0.833
20,2021-06-23,3,1,1,0.8
21,2021-06-22,20,3,2,1.2
22,2021-06-21,0,4,3,-0.071
23,2021-06-20,0,2,0,1.0
24,2021-06-19,0,0,1,-1.5
25,2021-06-18,0,4,0,1.0
26,2021-06-17,2,2,2,0.333
27,2021-06-16,0,0,3,-1.5
28,2021-06-15,1,1,2,-0.125
29,2021-06-14,1,1,2,-0.125
30,2021-06-13,0,0,1,-1.5
31,2021-06-11,7,6,2,0.9
32,2021-06-10,8,9,8,0.36
33,2021-06-09,17,26,6,0.867
34,2021-06-08,5,8,2,0.833
35,2021-06-07,12,2,2,1.063
36,2021-06-06,0,2,0,1.0
37,2021-06-04,1,0,3,-0.75
38,2021-06-03,3,4,1,0.875
39,2021-06-02,5,5,2,0.792
40,2021-06-01,3,3,0,1.25
41,2021-05-31,1,0,0,1.5
42,2021-05-30,1,0,0,1.5
43,2021-05-29,1,0,0,1.5
44,2021-05-28,7,2,2,0.864
45,2021-05-27,7,2,1,1.1
46,2021-05-26,21,3,0,1.438
47,2021-05-25,9,2,1,1.167
48,2021-05-24,1,0,1,0.0
49,2021-05-22,1,0,0,1.5
50,2021-05-21,3,0,0,1.5
51,2021-05-20,0,1,0,1.0
52,2021-05-19,2,0,0,1.5
53,2021-05-18,7,1,1,1.111
54,2021-05-17,2,0,1,0.5
