,0,1,2,3,4
0,2021-07-15,0,0,1,-1.5
1,2021-07-12,0,1,0,1.0
2,2021-06-16,0,1,0,1.0
3,2021-06-08,1,0,0,1.5
4,2021-06-03,0,0,1,-1.5
5,2021-06-02,1,0,0,1.5
6,2021-06-01,0,1,2,-0.667
7,2021-05-18,0,0,1,-1.5
8,2021-05-17,0,0,1,-1.5
9,2021-05-12,0,2,0,1.0
10,2021-05-10,0,1,0,1.0
11,2021-04-30,0,1,0,1.0
12,2021-04-19,0,1,0,1.0
13,2021-03-17,0,0,1,-1.5
14,2021-03-16,0,2,0,1.0
15,2021-03-15,0,1,0,1.0
16,2021-03-09,1,1,0,1.25
17,2021-02-04,0,1,0,1.0
18,2021-02-03,3,0,0,1.5
19,2021-01-28,0,0,1,-1.5
20,2021-01-27,2,0,0,1.5
21,2021-01-21,0,1,0,1.0
22,2021-01-04,1,0,0,1.5
23,2020-12-16,0,1,0,1.0
24,2020-12-15,1,0,0,1.5
25,2020-12-07,13,2,1,1.25
26,2020-12-06,1,0,0,1.5
27,2020-11-21,1,0,0,1.5
28,2020-11-20,0,0,1,-1.5
29,2020-11-13,0,1,2,-0.667
30,2020-11-11,0,0,4,-1.5
31,2020-11-10,0,1,0,1.0
32,2020-11-06,0,0,1,-1.5
33,2020-11-05,0,0,1,-1.5
34,2020-11-03,0,1,1,-0.25
35,2020-11-02,0,0,1,-1.5
36,2020-10-30,0,0,1,-1.5
37,2020-10-29,0,0,1,-1.5
38,2020-10-28,0,0,1,-1.5
39,2020-10-27,0,1,0,1.0
40,2020-10-26,0,1,0,1.0
41,2020-10-25,0,0,1,-1.5
42,2020-10-23,0,0,1,-1.5
43,2020-10-22,0,0,1,-1.5
44,2020-10-21,0,0,1,-1.5
45,2020-10-19,0,2,0,1.0
46,2020-10-16,0,0,1,-1.5
47,2020-10-13,1,3,0,1.125
48,2020-10-12,0,4,0,1.0
49,2020-10-11,0,2,0,1.0
50,2020-10-10,0,2,0,1.0
51,2020-10-09,0,3,0,1.0
52,2020-10-08,0,3,1,0.375
53,2020-10-07,0,2,0,1.0
54,2020-10-06,0,1,0,1.0
55,2020-10-05,1,1,0,1.25
56,2020-10-04,0,2,0,1.0
57,2020-10-01,0,2,0,1.0
58,2020-09-30,0,1,0,1.0
59,2020-09-29,0,1,0,1.0
60,2020-09-28,0,1,1,-0.25
61,2020-09-26,0,1,1,-0.25
62,2020-09-25,0,0,1,-1.5
63,2020-09-24,0,2,0,1.0
64,2020-09-23,0,2,1,0.167
65,2020-09-22,0,2,1,0.167
66,2020-09-20,0,1,0,1.0
67,2020-09-19,0,0,1,-1.5
68,2020-09-18,1,1,0,1.25
69,2020-09-17,1,0,1,0.0
70,2020-09-16,9,1,0,1.45
71,2020-09-15,0,2,0,1.0
72,2020-09-14,0,2,0,1.0
73,2020-09-11,2,0,0,1.5
74,2020-09-09,0,2,0,1.0
75,2020-09-08,0,1,0,1.0
76,2020-09-07,0,1,1,-0.25
77,2020-09-04,0,1,0,1.0
78,2020-09-03,0,1,0,1.0
79,2020-09-02,0,1,0,1.0
80,2020-09-01,8,0,0,1.5
81,2020-08-31,1,1,0,1.25
82,2020-08-28,0,2,0,1.0
83,2020-08-27,0,1,0,1.0
84,2020-08-26,0,1,0,1.0
85,2020-08-25,0,1,0,1.0
86,2020-08-24,0,2,0,1.0
87,2020-08-23,0,1,0,1.0
88,2020-08-22,0,3,0,1.0
89,2020-08-21,0,4,0,1.0
90,2020-08-20,0,2,0,1.0
91,2020-08-19,0,1,0,1.0
92,2020-08-18,0,5,0,1.0
93,2020-08-17,0,3,2,0.0
94,2020-08-16,0,2,0,1.0
95,2020-08-14,0,6,0,1.0
96,2020-08-12,0,1,0,1.0
97,2020-08-11,1,4,1,0.667
98,2020-08-10,0,8,10,-0.389
99,2020-08-09,0,0,1,-1.5
100,2020-08-08,0,0,3,-1.5
101,2020-08-07,0,2,0,1.0
102,2020-08-06,1,0,0,1.5
103,2020-08-05,2,5,5,0.042
104,2020-08-04,1,8,8,-0.147
105,2020-08-03,1,0,4,-0.9
106,2020-08-02,1,0,0,1.5
107,2020-08-01,0,1,0,1.0
108,2020-07-31,0,3,1,0.375
109,2020-07-30,1,2,1,0.5
110,2020-07-29,12,3,1,1.219
111,2020-07-28,9,0,1,1.2
112,2020-05-12,0,1,0,1.0
113,2020-03-17,0,2,0,1.0
114,2020-02-14,1,0,0,1.5
115,2019-11-08,0,1,0,1.0
116,2019-08-09,0,1,0,1.0
117,2019-07-25,0,0,1,-1.5
118,2019-06-11,0,1,0,1.0
119,2019-05-31,0,0,1,-1.5
120,2019-05-09,1,1,0,1.25
121,2019-04-01,0,1,0,1.0
