,0,1,2,3,4
0,2021-07-15,14,3,0,1.412
1,2021-07-14,16,2,1,1.289
2,2021-07-13,20,2,2,1.208
3,2021-07-12,4,1,2,0.571
4,2021-07-11,1,1,0,1.25
5,2021-07-10,2,1,0,1.333
6,2021-07-09,9,5,13,-0.037
7,2021-07-08,7,2,1,1.1
8,2021-07-07,7,0,2,0.833
9,2021-07-06,7,7,0,1.25
10,2021-07-05,4,0,1,0.9
11,2021-07-02,8,2,2,0.917
12,2021-07-01,5,0,4,0.167
13,2021-06-30,4,2,0,1.333
14,2021-06-29,5,4,0,1.278
15,2021-06-28,9,2,2,0.962
16,2021-06-27,1,0,0,1.5
17,2021-06-26,1,1,0,1.25
18,2021-06-25,2,4,1,0.786
19,2021-06-24,9,4,7,0.35
20,2021-06-23,9,1,8,0.139
21,2021-06-22,7,5,2,0.893
22,2021-06-21,6,3,6,0.2
23,2021-06-20,4,0,0,1.5
24,2021-06-18,3,1,0,1.375
25,2021-06-17,3,1,5,-0.222
26,2021-06-16,7,3,4,0.536
27,2021-06-15,5,4,13,-0.364
28,2021-06-14,9,3,5,0.529
29,2021-06-13,3,0,1,0.75
30,2021-06-12,1,0,2,-0.5
31,2021-06-11,1,2,14,-1.029
32,2021-06-10,12,2,6,0.55
33,2021-06-09,7,1,4,0.458
34,2021-06-08,11,3,5,0.632
35,2021-06-07,18,13,3,1.044
36,2021-06-06,2,0,1,0.5
37,2021-06-05,0,0,1,-1.5
38,2021-06-04,8,4,2,0.929
39,2021-06-03,5,4,0,1.278
40,2021-06-02,9,1,3,0.769
41,2021-06-01,6,2,1,1.056
42,2021-05-31,1,1,2,-0.125
43,2021-05-30,2,0,0,1.5
44,2021-05-29,1,0,0,1.5
45,2021-05-28,3,8,4,0.433
46,2021-05-27,7,1,3,0.636
47,2021-05-26,3,7,1,0.909
48,2021-05-25,5,1,3,0.444
49,2021-05-24,6,9,2,0.882
50,2021-05-23,2,0,1,0.5
51,2021-05-22,2,0,1,0.5
52,2021-05-21,7,22,3,0.875
53,2021-05-20,4,5,2,0.727
54,2021-05-19,4,7,6,0.235
55,2021-05-18,7,4,3,0.714
56,2021-05-17,6,10,2,0.889
57,2021-05-16,2,0,0,1.5
58,2021-05-14,3,1,4,-0.063
59,2021-05-13,8,1,2,0.909
60,2021-05-12,9,3,1,1.154
61,2021-05-11,2,2,8,-0.583
62,2021-05-10,1,1,2,-0.125
63,2021-05-09,1,2,0,1.167
64,2021-05-08,0,3,0,1.0
65,2021-05-07,5,5,3,0.615
66,2021-05-06,5,5,2,0.792
67,2021-05-05,9,3,1,1.154
68,2021-05-04,4,3,7,-0.107
69,2021-05-03,12,4,17,-0.106
70,2021-05-02,0,1,4,-1.0
71,2021-05-01,0,1,0,1.0
72,2021-04-30,12,6,23,-0.256
73,2021-04-29,24,7,8,0.795
74,2021-04-28,43,6,3,1.269
75,2021-04-27,6,3,5,0.321
76,2021-04-26,23,11,7,0.854
77,2021-04-25,2,1,0,1.333
78,2021-04-24,1,0,1,0.0
79,2021-04-23,5,4,0,1.278
80,2021-04-22,4,3,4,0.273
81,2021-04-21,9,6,8,0.326
82,2021-04-20,17,29,1,1.128
83,2021-04-19,10,15,1,1.096
84,2021-04-18,3,0,0,1.5
85,2021-04-17,1,1,1,0.333
86,2021-04-16,5,2,0,1.357
87,2021-04-15,8,2,1,1.136
88,2021-04-14,6,1,1,1.063
89,2021-04-13,15,4,0,1.395
90,2021-04-12,3,4,3,0.4
91,2021-04-11,1,1,0,1.25
92,2021-04-10,1,0,0,1.5
93,2021-04-09,6,3,2,0.818
94,2021-04-08,12,4,15,-0.016
95,2021-04-07,5,7,1,1.0
96,2021-04-06,4,4,4,0.333
97,2021-04-05,3,2,0,1.3
98,2021-04-04,1,0,0,1.5
99,2021-04-03,0,0,1,-1.5
100,2021-04-02,0,1,0,1.0
101,2021-04-01,4,1,0,1.4
102,2021-03-31,15,4,0,1.395
103,2021-03-30,10,2,5,0.559
104,2021-03-29,3,1,1,0.8
105,2021-03-27,2,0,0,1.5
106,2021-03-26,4,0,1,0.9
107,2021-03-25,5,1,1,1.0
108,2021-03-24,4,1,2,0.571
109,2021-03-23,5,2,2,0.722
110,2021-03-22,6,1,5,0.208
111,2021-03-21,1,1,2,-0.125
112,2021-03-20,0,1,1,-0.25
113,2021-03-19,5,0,2,0.643
114,2021-03-18,8,1,3,0.708
115,2021-03-17,5,5,0,1.25
116,2021-03-16,5,2,0,1.357
117,2021-03-15,0,3,0,1.0
118,2021-03-14,1,3,0,1.125
119,2021-03-13,2,1,0,1.333
120,2021-03-12,8,2,3,0.731
121,2021-03-11,4,4,0,1.25
122,2021-03-10,13,9,4,0.865
123,2021-03-09,7,3,4,0.536
124,2021-03-08,7,1,2,0.85
125,2021-03-07,1,2,1,0.5
126,2021-03-06,0,1,1,-0.25
127,2021-03-05,4,5,3,0.542
128,2021-03-04,7,2,15,-0.417
129,2021-03-03,3,2,3,0.25
130,2021-03-02,8,4,2,0.929
131,2021-03-01,14,5,0,1.368
132,2021-02-28,2,1,0,1.333
133,2021-02-27,3,3,0,1.25
134,2021-02-26,8,3,1,1.125
135,2021-02-25,22,6,4,1.031
136,2021-02-24,3,3,2,0.563
137,2021-02-23,8,4,1,1.115
138,2021-02-22,9,4,5,0.556
139,2021-02-21,1,2,1,0.5
140,2021-02-20,0,3,0,1.0
141,2021-02-19,1,4,2,0.357
142,2021-02-18,7,5,4,0.594
143,2021-02-17,5,7,13,-0.2
144,2021-02-16,6,9,3,0.75
145,2021-02-15,2,4,1,0.786
146,2021-02-14,0,4,0,1.0
147,2021-02-13,1,1,1,0.333
148,2021-02-12,4,2,0,1.333
149,2021-02-11,2,2,0,1.25
150,2021-02-10,4,5,2,0.727
151,2021-02-09,5,5,1,1.0
152,2021-02-08,3,4,3,0.4
153,2021-02-07,0,2,0,1.0
154,2021-02-06,2,8,1,0.864
155,2021-02-05,6,8,3,0.735
156,2021-02-04,9,7,5,0.619
157,2021-02-03,19,8,1,1.25
158,2021-02-02,5,6,1,1.0
159,2021-02-01,15,2,2,1.132
160,2021-01-31,2,1,1,0.625
161,2021-01-30,1,1,1,0.333
162,2021-01-29,3,6,3,0.5
163,2021-01-28,19,20,12,0.598
164,2021-01-27,34,14,2,1.24
165,2021-01-26,13,8,1,1.182
166,2021-01-25,18,12,5,0.9
167,2021-01-24,4,4,0,1.25
168,2021-01-23,1,1,0,1.25
169,2021-01-22,15,2,1,1.278
170,2021-01-21,14,2,3,0.974
171,2021-01-20,5,2,1,1.0
172,2021-01-19,6,2,1,1.056
173,2021-01-18,1,0,0,1.5
174,2021-01-17,1,1,2,-0.125
175,2021-01-16,3,3,0,1.25
176,2021-01-15,11,3,2,1.031
177,2021-01-14,2,1,0,1.333
178,2021-01-13,10,4,0,1.357
179,2021-01-12,7,3,1,1.091
180,2021-01-11,7,0,9,-0.188
181,2021-01-10,4,2,0,1.333
182,2021-01-09,3,3,1,0.857
183,2021-01-08,20,3,0,1.435
184,2021-01-07,9,2,2,0.962
185,2021-01-06,8,3,9,0.075
186,2021-01-05,10,6,1,1.147
187,2021-01-04,5,5,2,0.792
188,2021-01-03,1,0,0,1.5
189,2021-01-02,3,0,0,1.5
190,2021-01-01,1,1,0,1.25
191,2020-12-31,12,7,1,1.175
192,2020-12-30,13,1,2,1.094
193,2020-12-29,8,3,4,0.6
194,2020-12-28,8,1,1,1.15
195,2020-12-27,0,1,2,-0.667
196,2020-12-26,2,1,0,1.333
197,2020-12-25,0,1,0,1.0
198,2020-12-24,4,4,0,1.25
199,2020-12-23,14,1,4,0.842
200,2020-12-22,31,7,0,1.408
201,2020-12-21,13,1,7,0.476
202,2020-12-20,1,1,2,-0.125
203,2020-12-19,0,4,4,-0.25
204,2020-12-18,3,1,5,-0.222
205,2020-12-17,4,0,7,-0.409
206,2020-12-16,6,1,20,-0.741
207,2020-12-15,14,6,13,0.227
208,2020-12-14,14,3,3,0.975
209,2020-12-13,2,0,0,1.5
210,2020-12-12,2,1,0,1.333
211,2020-12-11,5,4,0,1.278
212,2020-12-10,3,3,6,-0.125
213,2020-12-09,13,4,2,1.079
214,2020-12-08,23,9,3,1.114
