,0,1,2,3,4
0,2021-07-15,1,1,3,-0.4
1,2021-07-14,6,1,1,1.063
2,2021-07-13,3,3,2,0.563
3,2021-07-12,4,1,2,0.571
4,2021-07-11,0,2,0,1.0
5,2021-07-10,1,0,0,1.5
6,2021-07-09,1,1,2,-0.125
7,2021-07-08,2,1,8,-0.727
8,2021-07-07,3,1,4,-0.063
9,2021-07-06,0,2,5,-0.786
10,2021-07-05,0,1,0,1.0
11,2021-07-04,1,0,0,1.5
12,2021-07-02,0,0,2,-1.5
13,2021-07-01,1,1,1,0.333
14,2021-06-30,1,0,0,1.5
15,2021-06-29,2,2,0,1.25
16,2021-06-28,3,1,0,1.375
17,2021-06-27,2,0,0,1.5
18,2021-06-25,2,0,0,1.5
19,2021-06-24,0,1,0,1.0
20,2021-06-23,2,1,0,1.333
21,2021-06-21,5,2,0,1.357
22,2021-06-17,0,1,0,1.0
23,2021-06-16,1,1,1,0.333
24,2021-06-15,4,2,2,0.625
25,2021-06-14,2,1,0,1.333
26,2021-06-13,0,1,0,1.0
27,2021-06-11,0,1,0,1.0
28,2021-06-10,4,1,0,1.4
29,2021-06-09,4,1,0,1.4
30,2021-06-08,5,0,1,1.0
31,2021-06-06,1,0,0,1.5
32,2021-06-04,0,2,0,1.0
33,2021-06-03,2,2,0,1.25
34,2021-06-02,2,1,0,1.333
35,2021-06-01,2,1,0,1.333
36,2021-05-31,1,1,0,1.25
37,2021-05-30,1,0,1,0.0
38,2021-05-28,1,0,0,1.5
39,2021-05-27,2,1,2,0.2
40,2021-05-26,3,1,0,1.375
41,2021-05-25,1,2,0,1.167
42,2021-05-24,1,0,1,0.0
43,2021-05-21,3,0,0,1.5
44,2021-05-20,6,0,0,1.5
45,2021-05-19,6,1,1,1.063
46,2021-05-18,4,5,2,0.727
47,2021-05-17,6,2,1,1.056
48,2021-05-16,1,0,1,0.0
49,2021-05-15,0,0,1,-1.5
50,2021-05-14,5,2,3,0.5
51,2021-05-13,3,6,14,-0.457
52,2021-05-12,1,2,1,0.5
53,2021-05-11,2,1,0,1.333
54,2021-05-10,4,2,1,0.929
55,2021-05-09,1,1,0,1.25
56,2021-05-08,0,1,0,1.0
57,2021-05-07,1,1,0,1.25
58,2021-05-06,0,1,0,1.0
59,2021-05-05,0,1,1,-0.25
60,2021-05-04,1,0,0,1.5
61,2021-05-03,4,0,4,0.0
62,2021-05-02,0,1,0,1.0
63,2021-04-30,0,5,1,0.583
64,2021-04-29,1,0,0,1.5
65,2021-04-28,2,1,0,1.333
66,2021-04-27,1,2,1,0.5
67,2021-04-26,1,3,0,1.125
68,2021-04-25,0,1,1,-0.25
69,2021-04-23,2,0,0,1.5
70,2021-04-22,3,1,0,1.375
71,2021-04-21,2,0,1,0.5
72,2021-04-20,1,1,0,1.25
73,2021-04-19,2,2,1,0.7
74,2021-04-18,0,2,0,1.0
75,2021-04-17,0,0,1,-1.5
76,2021-04-16,1,2,1,0.5
77,2021-04-15,2,3,0,1.2
78,2021-04-14,2,0,2,0.0
79,2021-04-13,4,2,0,1.333
80,2021-04-12,14,8,7,0.638
81,2021-04-11,3,2,3,0.25
82,2021-04-10,0,0,8,-1.5
83,2021-04-09,2,1,6,-0.556
84,2021-04-08,3,0,0,1.5
85,2021-04-07,1,0,1,0.0
86,2021-04-06,2,1,0,1.333
87,2021-04-05,1,1,1,0.333
88,2021-04-04,0,1,0,1.0
89,2021-04-02,1,0,0,1.5
90,2021-04-01,1,2,1,0.5
91,2021-03-31,0,3,0,1.0
92,2021-03-30,0,0,1,-1.5
93,2021-03-29,2,1,2,0.2
94,2021-03-28,0,0,2,-1.5
95,2021-03-26,0,1,2,-0.667
96,2021-03-25,2,0,1,0.5
97,2021-03-24,1,1,2,-0.125
98,2021-03-23,1,0,0,1.5
99,2021-03-22,1,0,0,1.5
100,2021-03-21,1,1,0,1.25
101,2021-03-19,1,0,1,0.0
102,2021-03-18,1,0,1,0.0
103,2021-03-17,1,1,2,-0.125
104,2021-03-16,0,1,5,-1.083
105,2021-03-15,2,1,6,-0.556
106,2021-03-13,0,1,0,1.0
107,2021-03-12,2,2,1,0.7
108,2021-03-11,2,0,4,-0.5
109,2021-03-10,2,1,0,1.333
110,2021-03-09,5,0,0,1.5
111,2021-03-05,0,1,0,1.0
112,2021-03-02,1,2,0,1.167
113,2021-03-01,0,1,0,1.0
114,2021-02-28,0,0,1,-1.5
115,2021-02-27,0,2,0,1.0
116,2021-02-26,4,1,0,1.4
117,2021-02-25,1,1,0,1.25
118,2021-02-23,3,2,0,1.3
119,2021-02-20,0,1,0,1.0
120,2021-02-19,2,1,0,1.333
121,2021-02-18,2,0,0,1.5
122,2021-02-12,0,0,1,-1.5
123,2021-02-11,2,0,0,1.5
124,2021-02-09,1,0,0,1.5
125,2021-02-08,1,0,1,0.0
126,2021-02-07,2,1,0,1.333
127,2021-02-06,0,1,0,1.0
128,2021-02-05,1,1,0,1.25
129,2021-02-04,0,2,0,1.0
130,2021-02-03,12,2,4,0.778
131,2021-02-02,12,5,1,1.194
132,2021-02-01,3,2,0,1.3
133,2021-01-31,0,1,0,1.0
134,2021-01-29,1,1,0,1.25
135,2021-01-28,2,1,0,1.333
136,2021-01-27,0,0,1,-1.5
137,2021-01-26,3,1,0,1.375
138,2021-01-25,1,1,0,1.25
139,2021-01-24,1,1,0,1.25
140,2021-01-23,0,0,1,-1.5
141,2021-01-22,1,2,3,-0.167
142,2021-01-21,2,1,0,1.333
143,2021-01-20,22,4,0,1.423
144,2021-01-19,1,2,0,1.167
145,2021-01-15,1,1,2,-0.125
146,2021-01-14,7,1,0,1.438
147,2021-01-13,7,2,2,0.864
148,2021-01-12,2,5,0,1.143
149,2021-01-11,1,4,1,0.667
150,2021-01-09,0,0,1,-1.5
151,2021-01-08,2,3,4,0.0
152,2021-01-07,1,1,4,-0.583
153,2021-01-06,3,2,13,-0.722
154,2021-01-05,7,5,17,-0.345
155,2021-01-04,3,2,8,-0.423
156,2021-01-03,0,1,0,1.0
157,2021-01-01,1,0,0,1.5
158,2020-12-31,4,3,0,1.286
159,2020-12-30,4,2,3,0.389
160,2020-12-29,6,1,3,0.55
161,2020-12-28,2,1,10,-0.846
162,2020-12-27,0,3,4,-0.429
163,2020-12-26,2,0,1,0.5
164,2020-12-25,2,1,0,1.333
165,2020-12-24,0,8,28,-0.944
166,2020-12-23,1,0,9,-1.2
167,2020-12-22,2,3,1,0.75
168,2020-12-21,1,0,1,0.0
169,2020-12-19,0,1,1,-0.25
170,2020-12-18,3,2,0,1.3
171,2020-12-17,3,3,0,1.25
172,2020-12-16,1,1,1,0.333
173,2020-12-14,2,0,8,-0.9
174,2020-12-12,0,1,0,1.0
175,2020-12-11,1,0,0,1.5
176,2020-12-09,3,0,1,0.75
177,2020-12-08,1,1,0,1.25
178,2020-12-07,1,1,0,1.25
179,2020-12-06,1,0,0,1.5
180,2020-12-05,0,1,0,1.0
181,2020-12-04,1,1,0,1.25
182,2020-12-03,2,6,2,0.6
183,2020-12-02,2,2,1,0.7
