,0,1,2,3,4
0,2021-07-15,2,2,2,0.333
1,2021-07-14,2,0,0,1.5
2,2021-07-13,4,1,18,-0.87
3,2021-07-12,3,0,3,0.0
4,2021-07-10,1,0,1,0.0
5,2021-07-09,3,2,13,-0.722
6,2021-07-08,7,1,11,-0.263
7,2021-07-07,1,0,14,-1.3
8,2021-07-06,3,2,1,0.833
9,2021-07-05,0,0,5,-1.5
10,2021-07-04,0,1,0,1.0
11,2021-07-03,1,0,0,1.5
12,2021-07-02,4,0,3,0.214
13,2021-07-01,2,0,1,0.5
14,2021-06-30,0,6,3,0.167
15,2021-06-29,4,5,2,0.727
16,2021-06-28,4,0,6,-0.3
17,2021-06-27,1,0,0,1.5
18,2021-06-26,4,1,0,1.4
19,2021-06-25,4,3,12,-0.474
20,2021-06-24,2,5,4,0.182
21,2021-06-23,5,2,10,-0.324
22,2021-06-22,1,2,25,-1.214
23,2021-06-21,6,2,2,0.8
24,2021-06-19,0,0,1,-1.5
25,2021-06-18,4,1,3,0.313
26,2021-06-17,6,6,3,0.7
27,2021-06-16,21,3,4,1.018
28,2021-06-15,2,1,16,-1.053
29,2021-06-14,8,1,5,0.393
30,2021-06-13,3,0,1,0.75
31,2021-06-12,0,0,3,-1.5
32,2021-06-11,7,4,16,-0.352
33,2021-06-10,9,2,3,0.786
34,2021-06-09,4,2,5,0.045
35,2021-06-08,6,2,6,0.143
36,2021-06-07,4,3,18,-0.72
37,2021-06-06,2,1,0,1.333
38,2021-06-05,1,1,1,0.333
39,2021-06-04,11,3,3,0.882
40,2021-06-03,3,1,1,0.8
41,2021-06-02,2,1,2,0.2
42,2021-06-01,2,3,0,1.2
43,2021-05-31,0,0,1,-1.5
44,2021-05-30,1,0,0,1.5
45,2021-05-29,1,1,0,1.25
46,2021-05-28,4,0,3,0.214
47,2021-05-27,8,2,4,0.571
48,2021-05-26,10,7,0,1.294
49,2021-05-25,2,1,10,-0.846
50,2021-05-24,1,3,3,0.0
51,2021-05-21,4,3,0,1.286
52,2021-05-20,11,2,2,1.033
53,2021-05-19,4,5,0,1.222
54,2021-05-18,9,3,1,1.154
55,2021-05-17,4,2,1,0.929
56,2021-05-16,1,0,0,1.5
57,2021-05-14,4,1,3,0.313
58,2021-05-13,10,0,6,0.375
59,2021-05-12,5,4,0,1.278
60,2021-05-11,12,0,0,1.5
61,2021-05-10,1,1,3,-0.4
62,2021-05-09,1,1,0,1.25
63,2021-05-08,1,0,0,1.5
64,2021-05-07,1,2,1,0.5
65,2021-05-06,4,2,2,0.625
66,2021-05-05,6,0,1,1.071
67,2021-05-04,4,3,2,0.667
68,2021-05-03,4,3,0,1.286
69,2021-05-02,1,0,0,1.5
70,2021-04-30,8,2,8,0.111
71,2021-04-29,5,3,1,1.0
72,2021-04-28,15,9,2,1.096
73,2021-04-27,27,6,4,1.095
74,2021-04-26,4,4,9,-0.206
75,2021-04-25,1,1,0,1.25
76,2021-04-24,1,0,0,1.5
77,2021-04-23,4,4,1,0.944
78,2021-04-22,2,2,3,0.071
79,2021-04-21,1,1,8,-0.95
80,2021-04-20,1,1,1,0.333
81,2021-04-19,3,2,2,0.5
82,2021-04-17,0,1,0,1.0
83,2021-04-16,1,0,2,-0.5
84,2021-04-15,2,1,3,-0.083
85,2021-04-14,3,0,2,0.3
86,2021-04-13,1,3,0,1.125
87,2021-04-12,1,3,6,-0.45
88,2021-04-11,1,1,1,0.333
89,2021-04-09,7,3,3,0.692
90,2021-04-08,3,1,1,0.8
91,2021-04-07,3,2,3,0.25
92,2021-04-06,7,3,2,0.875
93,2021-04-05,9,13,3,0.88
94,2021-04-04,4,0,0,1.5
95,2021-04-03,0,2,0,1.0
96,2021-04-02,0,11,0,1.0
