,0,1,2,3,4
0,2021-05-18,3,1,1,0.8
1,2021-05-17,2,2,0,1.25
2,2021-05-15,2,0,0,1.5
3,2021-05-13,0,1,0,1.0
4,2021-05-12,0,1,2,-0.667
5,2021-05-11,1,3,0,1.125
6,2021-05-10,2,0,2,0.0
7,2021-05-07,0,0,2,-1.5
8,2021-05-06,2,2,3,0.071
9,2021-05-05,2,0,2,0.0
10,2021-05-04,3,1,0,1.375
11,2021-05-03,2,1,2,0.2
12,2021-05-01,1,0,0,1.5
13,2021-04-29,1,1,0,1.25
14,2021-04-28,4,0,0,1.5
15,2021-04-27,1,1,1,0.333
16,2021-04-26,3,3,2,0.563
17,2021-04-25,0,0,2,-1.5
18,2021-04-24,1,0,1,0.0
19,2021-04-23,17,9,1,1.222
20,2021-04-22,1,1,1,0.333
21,2021-04-21,6,4,9,-0.026
22,2021-04-20,21,6,9,0.667
23,2021-04-19,4,5,3,0.542
24,2021-04-18,1,3,1,0.6
25,2021-04-17,0,0,1,-1.5
26,2021-04-16,2,2,5,-0.278
27,2021-04-15,3,0,3,0.0
28,2021-04-14,3,10,9,0.045
29,2021-04-13,6,18,57,-0.722
30,2021-04-12,2,2,1,0.7
31,2021-04-10,0,1,4,-1.0
32,2021-04-09,2,3,5,-0.15
33,2021-04-08,1,0,2,-0.5
34,2021-04-07,1,0,0,1.5
35,2021-04-06,3,1,0,1.375
36,2021-04-05,3,4,0,1.214
37,2021-04-04,2,2,1,0.7
38,2021-04-03,1,0,1,0.0
39,2021-04-02,2,1,0,1.333
40,2021-04-01,2,1,7,-0.65
41,2021-03-31,0,0,5,-1.5
42,2021-03-30,2,0,1,0.5
43,2021-03-29,2,2,1,0.7
44,2021-03-28,3,0,0,1.5
45,2021-03-27,1,0,0,1.5
46,2021-03-26,4,0,0,1.5
47,2021-03-24,1,1,0,1.25
48,2021-03-23,2,0,0,1.5
49,2021-03-22,2,0,1,0.5
50,2021-03-21,1,1,0,1.25
51,2021-03-19,1,0,0,1.5
52,2021-03-18,1,0,0,1.5
53,2021-03-17,2,1,0,1.333
54,2021-03-16,3,0,0,1.5
55,2021-03-15,2,0,0,1.5
56,2021-03-13,1,1,0,1.25
57,2021-03-12,6,3,0,1.333
58,2021-03-11,7,2,1,1.1
59,2021-03-10,11,4,1,1.188
60,2021-03-09,1,0,1,0.0
61,2021-03-08,3,1,0,1.375
62,2021-03-07,0,1,0,1.0
63,2021-03-06,1,1,0,1.25
64,2021-03-05,5,2,0,1.357
65,2021-03-04,2,1,1,0.625
66,2021-03-03,6,3,0,1.333
67,2021-03-02,19,5,0,1.396
68,2021-03-01,30,3,0,1.455
69,2021-02-28,6,3,0,1.333
70,2021-02-27,9,1,0,1.45
71,2021-02-26,20,5,0,1.4
72,2021-02-25,4,0,1,0.9
73,2021-02-24,17,4,0,1.405
74,2021-02-23,1,3,2,0.25
75,2021-02-22,0,6,1,0.643
76,2021-02-21,1,0,0,1.5
77,2021-02-20,0,2,0,1.0
78,2021-02-19,1,3,0,1.125
79,2021-02-18,2,0,0,1.5
80,2021-02-17,5,2,0,1.357
81,2021-02-16,3,0,0,1.5
82,2021-02-14,0,1,0,1.0
83,2021-02-13,0,2,0,1.0
84,2021-02-12,0,2,0,1.0
85,2021-02-10,3,2,0,1.3
86,2021-02-09,2,4,0,1.167
87,2021-02-08,2,0,0,1.5
88,2021-02-07,0,0,1,-1.5
89,2021-02-06,2,0,0,1.5
90,2021-02-05,12,3,0,1.4
91,2021-02-04,10,1,0,1.455
92,2021-02-03,0,1,1,-0.25
93,2021-02-02,2,2,0,1.25
94,2021-02-01,6,2,0,1.375
95,2021-01-31,1,1,0,1.25
96,2021-01-30,1,0,0,1.5
97,2021-01-29,7,21,5,0.727
98,2021-01-28,2,0,0,1.5
99,2021-01-27,1,2,1,0.5
100,2021-01-26,21,5,0,1.404
101,2021-01-25,4,2,1,0.929
102,2021-01-24,1,1,0,1.25
103,2021-01-23,1,0,0,1.5
104,2021-01-22,8,1,0,1.444
105,2021-01-21,5,1,0,1.417
106,2021-01-20,2,1,0,1.333
107,2021-01-19,4,1,0,1.4
108,2021-01-18,2,0,0,1.5
109,2021-01-17,1,0,0,1.5
110,2021-01-16,1,0,0,1.5
111,2021-01-14,8,0,0,1.5
112,2021-01-13,4,0,3,0.214
113,2021-01-12,2,1,0,1.333
114,2021-01-11,3,4,0,1.214
115,2021-01-06,1,0,0,1.5
116,2021-01-05,3,1,0,1.375
117,2021-01-04,1,0,0,1.5
118,2021-01-03,0,1,0,1.0
119,2021-01-02,3,0,0,1.5
120,2020-12-31,2,0,0,1.5
121,2020-12-29,1,0,0,1.5
122,2020-12-28,1,0,0,1.5
123,2020-12-27,3,0,0,1.5
124,2020-12-25,1,0,0,1.5
125,2020-12-23,1,1,1,0.333
126,2020-12-22,0,3,0,1.0
127,2020-12-20,1,0,0,1.5
128,2020-12-19,2,0,0,1.5
129,2020-12-18,3,2,0,1.3
130,2020-12-17,3,0,0,1.5
131,2020-12-15,2,0,0,1.5
132,2020-12-14,2,0,0,1.5
133,2020-12-13,1,1,0,1.25
134,2020-12-12,1,0,0,1.5
135,2020-12-11,2,0,0,1.5
136,2020-12-10,2,0,0,1.5
137,2020-12-09,2,1,0,1.333
138,2020-12-08,4,0,0,1.5
139,2020-12-07,0,1,0,1.0
140,2020-12-06,1,0,0,1.5
141,2020-12-05,1,0,0,1.5
142,2020-12-04,2,1,0,1.333
143,2020-12-03,3,1,0,1.375
144,2020-12-02,0,2,2,-0.25
145,2020-12-01,1,1,0,1.25
146,2020-11-30,1,0,0,1.5
147,2020-11-25,3,0,0,1.5
148,2020-11-24,1,1,0,1.25
149,2020-11-23,0,1,0,1.0
150,2020-11-22,1,0,0,1.5
151,2020-11-21,1,0,0,1.5
152,2020-11-20,3,2,3,0.25
153,2020-11-19,1,3,0,1.125
154,2020-11-18,1,1,0,1.25
155,2020-11-17,4,1,0,1.4
156,2020-11-16,2,0,0,1.5
157,2020-11-15,1,2,0,1.167
158,2020-11-14,2,2,0,1.25
159,2020-11-13,1,0,1,0.0
160,2020-11-12,1,0,1,0.0
161,2020-11-11,1,1,1,0.333
162,2020-11-10,1,0,0,1.5
163,2020-11-09,1,1,0,1.25
164,2020-11-08,0,1,0,1.0
165,2020-11-07,2,0,0,1.5
166,2020-11-06,1,0,0,1.5
167,2020-11-05,1,0,0,1.5
168,2020-11-04,4,0,0,1.5
169,2020-11-03,3,0,1,0.75
170,2020-11-02,5,1,1,1.0
171,2020-11-01,2,1,0,1.333
172,2020-10-30,1,0,0,1.5
173,2020-10-29,1,2,0,1.167
174,2020-10-28,1,2,0,1.167
175,2020-10-27,3,1,0,1.375
176,2020-10-26,3,1,0,1.375
177,2020-10-25,2,1,0,1.333
178,2020-10-24,2,1,0,1.333
179,2020-10-23,2,1,0,1.333
180,2020-10-22,1,2,0,1.167
181,2020-10-21,0,1,1,-0.25
182,2020-10-20,1,0,0,1.5
183,2020-10-19,2,0,0,1.5
184,2020-10-18,1,0,0,1.5
185,2020-10-17,1,2,0,1.167
186,2020-10-16,1,0,0,1.5
187,2020-10-15,3,3,1,0.857
188,2020-10-14,5,3,2,0.75
189,2020-10-13,12,11,15,0.171
190,2020-10-12,1,4,7,-0.417
191,2020-10-11,1,1,0,1.25
192,2020-10-10,1,1,0,1.25
193,2020-10-08,0,2,0,1.0
194,2020-10-07,3,0,0,1.5
195,2020-10-06,2,2,1,0.7
196,2020-10-05,0,3,1,0.375
197,2020-10-03,1,1,0,1.25
198,2020-10-02,1,1,0,1.25
199,2020-10-01,1,1,0,1.25
200,2020-09-30,2,0,0,1.5
201,2020-09-29,1,0,0,1.5
202,2020-09-26,0,1,0,1.0
203,2020-09-25,1,3,0,1.125
204,2020-09-24,1,4,0,1.1
205,2020-09-23,15,4,1,1.25
206,2020-09-21,0,1,0,1.0
207,2020-09-20,2,0,0,1.5
208,2020-09-18,3,0,0,1.5
209,2020-09-17,1,1,4,-0.583
210,2020-09-16,1,1,0,1.25
211,2020-09-15,2,0,0,1.5
212,2020-09-14,2,0,0,1.5
213,2020-09-13,0,1,0,1.0
214,2020-09-11,1,0,2,-0.5
215,2020-09-10,3,0,0,1.5
216,2020-09-09,1,3,0,1.125
217,2020-09-08,3,3,0,1.25
218,2020-09-07,0,1,0,1.0
219,2020-09-06,2,0,0,1.5
220,2020-09-05,1,1,0,1.25
221,2020-09-04,3,2,0,1.3
222,2020-09-03,3,3,0,1.25
223,2020-09-02,1,1,1,0.333
224,2020-08-31,3,0,1,0.75
225,2020-08-30,1,2,0,1.167
226,2020-08-27,0,1,0,1.0
227,2020-08-25,1,0,0,1.5
228,2020-08-24,3,0,0,1.5
229,2020-08-22,1,1,0,1.25
230,2020-08-21,4,1,0,1.4
231,2020-08-20,6,6,0,1.25
232,2020-08-19,6,6,0,1.25
233,2020-08-18,0,0,3,-1.5
234,2020-08-15,1,0,1,0.0
235,2020-08-14,1,1,0,1.25
236,2020-08-13,2,1,0,1.333
237,2020-08-12,1,0,1,0.0
238,2020-08-09,1,1,0,1.25
239,2020-08-08,1,0,0,1.5
240,2020-08-07,0,1,0,1.0
241,2020-08-06,2,0,0,1.5
242,2020-08-05,6,0,0,1.5
243,2020-08-04,1,1,0,1.25
244,2020-07-30,7,1,0,1.438
245,2020-07-29,1,1,0,1.25
246,2020-07-28,1,0,0,1.5
247,2020-07-27,0,0,1,-1.5
248,2020-07-26,0,1,0,1.0
249,2020-07-24,1,1,0,1.25
250,2020-07-23,3,1,0,1.375
251,2020-07-22,0,2,0,1.0
252,2020-07-21,0,2,0,1.0
253,2020-07-20,2,1,0,1.333
254,2020-07-19,1,0,0,1.5
255,2020-07-18,1,0,0,1.5
256,2020-07-17,4,2,0,1.333
257,2020-07-16,14,5,4,0.87
258,2020-07-15,3,2,0,1.3
259,2020-07-14,3,3,0,1.25
260,2020-07-13,0,1,0,1.0
261,2020-07-12,0,1,0,1.0
262,2020-07-11,0,2,0,1.0
263,2020-07-09,0,2,0,1.0
264,2020-07-08,1,2,1,0.5
265,2020-07-07,0,3,0,1.0
266,2020-07-06,2,3,1,0.75
267,2020-07-04,1,0,0,1.5
268,2020-07-03,0,2,0,1.0
269,2020-07-02,1,0,1,0.0
270,2020-07-01,0,2,0,1.0
271,2020-06-30,1,1,0,1.25
272,2020-06-29,2,1,0,1.333
273,2020-06-28,0,1,0,1.0
274,2020-06-27,1,0,0,1.5
275,2020-06-26,0,1,0,1.0
276,2020-06-25,1,1,0,1.25
277,2020-06-24,1,0,2,-0.5
278,2020-06-23,0,0,3,-1.5
279,2020-06-20,0,1,0,1.0
280,2020-06-18,4,0,0,1.5
281,2020-06-17,1,0,0,1.5
282,2020-06-16,1,0,0,1.5
283,2020-06-15,2,1,0,1.333
284,2020-06-12,2,0,1,0.5
285,2020-06-11,2,2,0,1.25
286,2020-06-10,6,2,0,1.375
287,2020-06-09,1,0,0,1.5
288,2020-06-08,1,0,0,1.5
289,2020-06-07,1,0,0,1.5
290,2020-06-05,2,1,0,1.333
291,2020-06-04,0,2,0,1.0
292,2020-06-03,1,3,0,1.125
293,2020-06-02,3,1,0,1.375
294,2020-05-31,1,0,0,1.5
295,2020-05-28,0,2,0,1.0
296,2020-05-27,2,0,0,1.5
297,2020-05-22,0,1,0,1.0
298,2020-05-21,1,1,0,1.25
299,2020-05-20,1,5,1,0.714
300,2020-05-19,1,3,5,-0.333
301,2020-05-18,0,1,0,1.0
302,2020-05-16,0,1,0,1.0
303,2020-05-15,1,1,1,0.333
304,2020-05-14,0,1,1,-0.25
305,2020-05-12,1,0,0,1.5
306,2020-05-11,2,0,0,1.5
307,2020-05-10,1,1,0,1.25
308,2020-05-08,2,0,0,1.5
309,2020-05-07,1,0,0,1.5
310,2020-05-06,2,0,0,1.5
311,2020-05-05,1,1,0,1.25
312,2020-05-04,1,0,0,1.5
313,2020-05-02,1,0,0,1.5
314,2020-05-01,2,0,0,1.5
315,2020-04-30,3,0,0,1.5
316,2020-04-29,2,0,1,0.5
317,2020-04-28,1,3,0,1.125
318,2020-04-27,1,0,2,-0.5
319,2020-04-26,0,1,0,1.0
320,2020-04-25,1,0,0,1.5
321,2020-04-24,1,1,0,1.25
322,2020-04-23,1,2,0,1.167
323,2020-04-22,4,2,0,1.333
324,2020-04-21,2,0,0,1.5
325,2020-04-20,2,0,0,1.5
326,2020-04-19,2,0,0,1.5
327,2020-04-17,2,0,0,1.5
328,2020-04-16,5,0,0,1.5
329,2020-04-15,7,3,0,1.35
330,2020-04-14,20,4,1,1.3
331,2020-04-13,2,4,0,1.167
332,2020-04-12,2,2,0,1.25
333,2020-04-11,0,1,0,1.0
334,2020-04-10,0,2,0,1.0
335,2020-04-09,1,5,0,1.083
336,2020-04-08,1,0,0,1.5
337,2020-04-07,1,0,0,1.5
338,2020-04-06,0,1,0,1.0
339,2020-04-05,1,0,0,1.5
340,2020-04-04,1,0,0,1.5
341,2020-04-03,2,1,0,1.333
342,2020-04-02,1,1,0,1.25
343,2020-04-01,2,1,0,1.333
344,2020-03-31,7,4,0,1.318
345,2020-03-30,19,5,0,1.396
346,2020-03-29,1,1,0,1.25
347,2020-03-27,1,0,0,1.5
348,2020-03-25,1,0,1,0.0
349,2020-03-24,1,1,0,1.25
350,2020-03-23,2,1,0,1.333
351,2020-03-21,1,0,0,1.5
352,2020-03-20,1,0,0,1.5
353,2020-03-19,1,2,0,1.167
354,2020-03-18,3,2,0,1.3
355,2020-03-17,1,4,0,1.1
356,2020-03-16,3,4,0,1.214
357,2020-03-15,1,0,0,1.5
358,2020-03-13,2,0,0,1.5
359,2020-03-12,1,1,0,1.25
360,2020-03-11,1,0,0,1.5
361,2020-03-10,3,2,0,1.3
362,2020-03-09,0,2,1,0.167
363,2020-03-07,1,0,0,1.5
364,2020-03-06,0,3,0,1.0
365,2020-03-05,2,2,0,1.25
366,2020-03-04,1,1,0,1.25
367,2020-03-03,0,2,1,0.167
368,2020-03-02,0,3,0,1.0
369,2020-02-29,1,1,0,1.25
370,2020-02-28,2,1,0,1.333
371,2020-02-26,2,0,0,1.5
372,2020-02-25,4,0,0,1.5
373,2020-02-24,1,1,0,1.25
374,2020-02-21,0,0,1,-1.5
375,2020-02-20,1,0,0,1.5
376,2020-02-19,1,0,0,1.5
377,2020-02-18,1,0,0,1.5
378,2020-02-17,0,1,0,1.0
379,2020-02-14,0,0,1,-1.5
380,2020-02-13,0,0,1,-1.5
381,2020-02-12,0,1,0,1.0
382,2020-02-11,3,2,0,1.3
383,2020-02-10,0,1,0,1.0
384,2020-02-09,1,0,0,1.5
385,2020-02-07,0,1,1,-0.25
386,2020-02-06,0,1,2,-0.667
387,2020-02-05,0,1,0,1.0
388,2020-02-04,2,0,0,1.5
389,2020-02-01,1,0,0,1.5
390,2020-01-31,2,0,2,0.0
391,2020-01-30,0,1,0,1.0
392,2020-01-29,1,1,0,1.25
393,2020-01-28,1,0,1,0.0
394,2020-01-27,4,0,3,0.214
395,2020-01-24,2,1,0,1.333
396,2020-01-23,0,0,1,-1.5
397,2020-01-22,6,7,4,0.588
398,2020-01-21,2,1,0,1.333
399,2020-01-20,0,2,1,0.167
400,2020-01-19,0,1,0,1.0
401,2020-01-17,1,1,1,0.333
402,2020-01-16,3,0,0,1.5
403,2020-01-15,2,1,0,1.333
404,2020-01-14,1,0,1,0.0
405,2020-01-13,0,1,0,1.0
406,2020-01-11,0,1,0,1.0
407,2020-01-10,1,2,0,1.167
408,2020-01-08,1,2,0,1.167
409,2020-01-07,1,0,1,0.0
410,2020-01-06,0,1,0,1.0
411,2020-01-05,1,0,0,1.5
412,2020-01-03,2,1,1,0.625
413,2020-01-02,1,0,0,1.5
414,2019-12-31,2,0,0,1.5
415,2019-12-30,0,2,0,1.0
416,2019-12-28,1,1,0,1.25
417,2019-12-27,3,0,0,1.5
418,2019-12-26,0,1,0,1.0
419,2019-12-23,1,0,0,1.5
420,2019-12-22,1,1,0,1.25
421,2019-12-20,3,0,0,1.5
422,2019-12-19,1,0,0,1.5
423,2019-12-18,1,0,0,1.5
424,2019-12-17,2,1,0,1.333
425,2019-12-16,1,0,0,1.5
426,2019-12-13,1,0,0,1.5
427,2019-12-11,1,0,0,1.5
428,2019-12-09,3,2,2,0.5
429,2019-12-06,2,0,0,1.5
430,2019-12-05,0,1,0,1.0
431,2019-12-04,1,1,2,-0.125
432,2019-12-03,2,1,0,1.333
433,2019-12-02,0,1,0,1.0
434,2019-11-30,0,1,0,1.0
435,2019-11-28,1,0,0,1.5
436,2019-11-27,0,0,3,-1.5
437,2019-11-26,0,0,3,-1.5
438,2019-11-25,1,0,0,1.5
439,2019-11-23,1,1,0,1.25
440,2019-11-20,0,0,1,-1.5
441,2019-11-19,0,0,1,-1.5
442,2019-11-18,2,0,0,1.5
443,2019-11-15,4,1,0,1.4
444,2019-11-14,0,0,1,-1.5
445,2019-11-13,1,1,1,0.333
446,2019-11-06,0,1,0,1.0
447,2019-11-04,0,0,1,-1.5
448,2019-11-02,0,1,0,1.0
449,2019-11-01,0,1,0,1.0
450,2019-10-31,3,0,0,1.5
451,2019-10-30,4,1,1,0.917
452,2019-10-29,5,1,0,1.417
453,2019-10-28,1,0,2,-0.5
454,2019-10-25,0,4,0,1.0
455,2019-10-24,0,3,1,0.375
456,2019-10-23,2,3,1,0.75
457,2019-10-22,3,0,2,0.3
458,2019-10-21,3,1,3,0.143
459,2019-10-18,3,3,7,-0.231
460,2019-10-17,1,1,2,-0.125
461,2019-10-16,3,0,1,0.75
462,2019-10-15,20,5,0,1.4
463,2019-10-14,2,4,1,0.786
464,2019-10-12,0,1,0,1.0
465,2019-10-11,2,0,1,0.5
466,2019-10-10,1,1,1,0.333
467,2019-10-09,0,1,7,-1.188
468,2019-10-08,1,1,2,-0.125
469,2019-10-07,0,1,0,1.0
470,2019-10-05,2,1,0,1.333
471,2019-10-04,3,0,0,1.5
472,2019-10-03,2,1,0,1.333
473,2019-10-02,3,1,0,1.375
474,2019-10-01,3,2,2,0.5
475,2019-09-30,2,1,0,1.333
476,2019-09-27,1,0,0,1.5
477,2019-09-26,1,0,0,1.5
478,2019-09-24,0,3,1,0.375
479,2019-09-23,0,0,1,-1.5
480,2019-09-22,1,0,0,1.5
481,2019-09-20,1,1,1,0.333
482,2019-09-19,1,0,3,-0.75
483,2019-09-18,1,0,0,1.5
484,2019-09-17,0,2,0,1.0
485,2019-09-13,1,0,0,1.5
486,2019-09-12,0,1,0,1.0
487,2019-09-11,0,2,0,1.0
488,2019-09-10,1,0,0,1.5
489,2019-09-05,1,2,1,0.5
490,2019-09-04,1,0,0,1.5
491,2019-09-02,1,0,0,1.5
492,2019-08-30,0,1,2,-0.667
493,2019-08-29,0,0,2,-1.5
494,2019-08-28,1,3,2,0.25
495,2019-08-27,5,5,3,0.615
496,2019-08-26,3,3,13,-0.632
497,2019-08-25,0,1,0,1.0
498,2019-08-23,0,1,1,-0.25
499,2019-08-22,1,1,0,1.25
500,2019-08-21,0,3,0,1.0
501,2019-08-20,1,0,0,1.5
502,2019-08-19,0,1,0,1.0
503,2019-08-15,0,0,1,-1.5
504,2019-08-14,2,0,0,1.5
505,2019-08-13,2,0,0,1.5
506,2019-08-12,1,0,0,1.5
507,2019-08-06,1,0,0,1.5
508,2019-08-04,1,0,0,1.5
509,2019-08-02,2,0,0,1.5
510,2019-07-29,2,1,1,0.625
511,2019-07-27,2,0,0,1.5
512,2019-07-24,2,0,2,0.0
513,2019-07-23,1,0,0,1.5
514,2019-07-22,2,1,3,-0.083
515,2019-07-19,0,0,1,-1.5
516,2019-07-18,1,1,0,1.25
517,2019-07-17,0,1,0,1.0
518,2019-07-16,17,6,3,1.038
519,2019-07-15,3,2,5,-0.1
520,2019-07-14,0,1,0,1.0
521,2019-07-12,3,0,13,-0.938
522,2019-07-11,0,1,0,1.0
523,2019-07-10,2,0,0,1.5
524,2019-07-09,2,0,0,1.5
525,2019-07-08,0,0,1,-1.5
526,2019-07-07,0,1,0,1.0
527,2019-07-05,1,1,1,0.333
528,2019-07-03,1,0,0,1.5
529,2019-07-01,1,0,0,1.5
530,2019-06-28,1,1,0,1.25
531,2019-06-26,2,0,1,0.5
532,2019-06-25,2,0,0,1.5
533,2019-06-24,2,0,0,1.5
534,2019-06-20,1,0,0,1.5
535,2019-06-19,1,1,0,1.25
536,2019-06-18,2,0,0,1.5
537,2019-06-17,1,0,0,1.5
538,2019-06-15,2,0,0,1.5
539,2019-06-14,0,1,0,1.0
540,2019-06-12,2,2,2,0.333
541,2019-06-11,0,0,1,-1.5
542,2019-06-10,1,0,0,1.5
543,2019-06-07,1,0,1,0.0
544,2019-06-06,0,2,0,1.0
545,2019-06-05,0,0,1,-1.5
546,2019-06-03,1,1,1,0.333
547,2019-06-02,0,0,1,-1.5
