,0,1,2,3,4
0,2021-07-15,0,1,0,1.0
1,2021-07-14,0,3,0,1.0
2,2021-07-13,1,4,0,1.1
3,2021-07-12,4,1,0,1.4
4,2021-07-11,1,3,0,1.125
5,2021-07-09,6,4,1,1.045
6,2021-07-08,7,2,1,1.1
7,2021-07-07,0,0,1,-1.5
8,2021-07-06,2,4,0,1.167
9,2021-07-05,2,1,0,1.333
10,2021-07-04,1,0,0,1.5
11,2021-07-03,1,0,0,1.5
12,2021-07-02,1,1,0,1.25
13,2021-07-01,1,0,0,1.5
14,2021-06-30,2,4,0,1.167
15,2021-06-29,2,0,1,0.5
16,2021-06-28,3,0,2,0.3
17,2021-06-27,1,1,0,1.25
18,2021-06-26,1,0,1,0.0
19,2021-06-25,0,1,0,1.0
20,2021-06-24,2,3,0,1.2
21,2021-06-23,2,2,3,0.071
22,2021-06-22,2,2,0,1.25
23,2021-06-21,0,1,0,1.0
24,2021-06-19,2,0,0,1.5
25,2021-06-18,0,2,0,1.0
26,2021-06-17,2,0,1,0.5
27,2021-06-16,2,2,0,1.25
28,2021-06-15,2,0,1,0.5
29,2021-06-14,0,1,1,-0.25
30,2021-06-13,1,0,0,1.5
31,2021-06-12,1,0,0,1.5
32,2021-06-11,3,1,1,0.8
33,2021-06-10,5,1,0,1.417
34,2021-06-09,12,1,0,1.462
35,2021-06-08,3,2,0,1.3
36,2021-06-07,1,1,0,1.25
37,2021-06-06,1,0,1,0.0
38,2021-06-05,1,0,0,1.5
39,2021-06-04,2,2,0,1.25
40,2021-06-03,2,0,1,0.5
41,2021-06-02,1,1,1,0.333
42,2021-05-31,2,0,0,1.5
43,2021-05-30,1,2,0,1.167
44,2021-05-29,1,0,0,1.5
45,2021-05-28,2,1,0,1.333
46,2021-05-27,2,2,0,1.25
47,2021-05-26,2,4,0,1.167
48,2021-05-25,3,2,0,1.3
49,2021-05-24,6,1,0,1.429
50,2021-05-23,1,1,0,1.25
51,2021-05-21,1,2,0,1.167
52,2021-05-20,3,1,0,1.375
53,2021-05-19,1,0,0,1.5
54,2021-05-18,1,2,1,0.5
55,2021-05-17,2,1,1,0.625
56,2021-05-16,1,0,0,1.5
57,2021-05-15,3,0,0,1.5
58,2021-05-14,0,4,0,1.0
59,2021-05-13,6,2,1,1.056
60,2021-05-12,10,1,1,1.208
61,2021-05-11,6,2,0,1.375
62,2021-05-10,10,2,1,1.192
63,2021-05-09,2,1,0,1.333
64,2021-05-08,4,1,0,1.4
65,2021-05-07,17,3,1,1.286
66,2021-05-06,2,4,6,-0.167
67,2021-05-05,7,2,3,0.667
68,2021-05-04,27,7,1,1.314
69,2021-05-03,5,3,0,1.313
70,2021-05-02,0,2,0,1.0
71,2021-05-01,0,1,0,1.0
72,2021-04-30,7,2,2,0.864
73,2021-04-29,4,1,0,1.4
74,2021-04-28,5,2,0,1.357
75,2021-04-27,3,1,0,1.375
76,2021-04-26,2,2,0,1.25
77,2021-04-25,1,0,0,1.5
78,2021-04-24,1,0,0,1.5
79,2021-04-23,2,1,0,1.333
80,2021-04-22,1,3,0,1.125
81,2021-04-21,0,1,0,1.0
82,2021-04-20,1,2,1,0.5
83,2021-04-18,1,0,0,1.5
84,2021-04-16,3,1,0,1.375
85,2021-04-15,0,7,2,0.444
86,2021-04-14,7,1,1,1.111
87,2021-04-13,10,3,0,1.385
88,2021-04-12,2,1,2,0.2
89,2021-04-11,1,0,2,-0.5
90,2021-04-10,1,0,0,1.5
91,2021-04-09,9,0,1,1.2
92,2021-04-08,1,1,0,1.25
93,2021-04-07,0,3,3,-0.25
94,2021-04-06,4,2,0,1.333
95,2021-04-05,4,1,0,1.4
96,2021-04-04,1,0,1,0.0
97,2021-04-02,1,1,0,1.25
98,2021-04-01,16,2,3,1.024
99,2021-03-31,17,1,1,1.316
100,2021-03-30,0,1,0,1.0
101,2021-03-29,4,1,0,1.4
102,2021-03-28,1,0,0,1.5
103,2021-03-27,0,0,1,-1.5
104,2021-03-26,1,0,2,-0.5
105,2021-03-25,1,6,1,0.75
106,2021-03-24,2,2,2,0.333
107,2021-03-23,9,6,1,1.125
108,2021-03-22,3,0,2,0.3
109,2021-03-21,0,1,0,1.0
110,2021-03-20,1,0,0,1.5
111,2021-03-19,1,0,0,1.5
112,2021-03-18,4,0,0,1.5
113,2021-03-17,2,3,2,0.429
114,2021-03-16,2,0,0,1.5
115,2021-03-15,3,0,0,1.5
116,2021-03-13,0,2,0,1.0
117,2021-03-12,1,1,0,1.25
118,2021-03-11,8,3,0,1.364
119,2021-03-10,4,3,0,1.286
120,2021-03-09,11,1,0,1.458
121,2021-03-08,2,1,0,1.333
122,2021-03-07,1,1,1,0.333
123,2021-03-06,0,3,0,1.0
124,2021-03-05,1,5,0,1.083
125,2021-03-04,4,2,1,0.929
126,2021-03-03,2,2,0,1.25
127,2021-03-02,3,4,1,0.875
128,2021-03-01,1,1,0,1.25
129,2021-02-28,0,1,0,1.0
130,2021-02-26,4,4,1,0.944
131,2021-02-25,13,3,2,1.083
132,2021-02-24,3,2,0,1.3
133,2021-02-23,5,2,1,1.0
134,2021-02-22,5,2,0,1.357
135,2021-02-21,0,0,1,-1.5
136,2021-02-20,1,1,0,1.25
137,2021-02-19,8,4,0,1.333
138,2021-02-18,5,1,0,1.417
139,2021-02-17,4,5,1,0.95
140,2021-02-16,2,0,1,0.5
141,2021-02-15,2,0,0,1.5
142,2021-02-14,2,0,0,1.5
143,2021-02-13,0,2,1,0.167
144,2021-02-12,4,3,0,1.286
145,2021-02-11,3,2,0,1.3
146,2021-02-10,1,2,0,1.167
147,2021-02-08,3,2,0,1.3
148,2021-02-06,0,1,0,1.0
149,2021-02-05,0,2,0,1.0
150,2021-02-04,2,3,0,1.2
151,2021-02-03,3,0,0,1.5
152,2021-02-02,13,11,6,0.717
153,2021-02-01,4,2,0,1.333
154,2021-01-31,0,3,0,1.0
155,2021-01-30,0,1,0,1.0
156,2021-01-29,2,7,0,1.111
157,2021-01-28,2,3,0,1.2
158,2021-01-27,2,3,1,0.75
159,2021-01-26,8,1,4,0.538
160,2021-01-25,4,3,0,1.286
161,2021-01-24,1,2,0,1.167
162,2021-01-23,0,1,0,1.0
163,2021-01-22,6,4,0,1.3
164,2021-01-21,4,0,1,0.9
165,2021-01-20,7,1,0,1.438
166,2021-01-19,2,0,0,1.5
167,2021-01-18,2,1,0,1.333
168,2021-01-16,1,1,0,1.25
169,2021-01-15,3,2,1,0.833
170,2021-01-14,2,1,0,1.333
171,2021-01-13,1,0,0,1.5
172,2021-01-12,4,5,3,0.542
173,2021-01-11,7,1,0,1.438
174,2021-01-10,1,0,0,1.5
175,2021-01-09,0,1,0,1.0
176,2021-01-08,16,6,1,1.239
177,2021-01-07,2,3,0,1.2
178,2021-01-06,0,2,0,1.0
179,2021-01-05,6,2,2,0.8
180,2021-01-04,1,2,0,1.167
181,2021-01-02,1,0,0,1.5
182,2021-01-01,1,0,0,1.5
183,2020-12-31,1,1,1,0.333
184,2020-12-30,1,1,0,1.25
185,2020-12-29,10,1,0,1.455
186,2020-12-28,9,4,0,1.346
187,2020-12-27,2,0,0,1.5
188,2020-12-26,1,1,0,1.25
189,2020-12-25,1,0,0,1.5
190,2020-12-24,4,1,0,1.4
191,2020-12-23,19,3,1,1.304
192,2020-12-22,8,5,0,1.308
193,2020-12-21,17,4,1,1.273
194,2020-12-20,2,1,0,1.333
195,2020-12-19,3,1,0,1.375
196,2020-12-18,3,1,1,0.8
197,2020-12-17,2,3,0,1.2
198,2020-12-16,5,3,2,0.75
199,2020-12-15,5,4,0,1.278
200,2020-12-14,17,6,0,1.37
201,2020-12-13,5,3,0,1.313
202,2020-12-12,8,4,0,1.333
203,2020-12-11,35,10,0,1.389
204,2020-12-10,23,6,5,0.971
205,2020-12-09,11,0,8,0.237
206,2020-12-08,23,12,1,1.25
207,2020-12-07,3,7,1,0.909
208,2020-12-06,3,0,0,1.5
209,2020-12-05,2,0,0,1.5
210,2020-12-04,5,0,1,1.0
211,2020-12-03,7,6,9,0.136
212,2020-12-02,34,7,0,1.415
213,2020-12-01,13,2,0,1.433
214,2020-11-30,3,1,0,1.375
215,2020-11-29,2,1,0,1.333
216,2020-11-28,0,2,0,1.0
217,2020-11-27,2,0,0,1.5
218,2020-11-25,4,3,1,0.938
219,2020-11-24,5,4,0,1.278
220,2020-11-23,4,2,0,1.333
221,2020-11-22,2,2,1,0.7
222,2020-11-21,3,2,0,1.3
223,2020-11-20,27,5,1,1.333
224,2020-11-19,8,4,1,1.115
225,2020-11-18,31,4,0,1.443
226,2020-11-17,13,2,3,0.944
227,2020-11-16,10,5,5,0.625
228,2020-11-15,4,1,0,1.4
229,2020-11-14,5,2,0,1.357
230,2020-11-13,9,3,0,1.375
231,2020-11-12,4,6,0,1.2
232,2020-11-11,7,16,2,0.94
233,2020-11-10,22,10,1,1.258
234,2020-11-09,71,13,2,1.355
235,2020-11-08,0,3,1,0.375
236,2020-11-06,1,2,0,1.167
237,2020-11-05,2,2,0,1.25
238,2020-11-04,2,0,0,1.5
239,2020-11-03,1,2,0,1.167
240,2020-11-02,0,1,1,-0.25
241,2020-11-01,0,1,1,-0.25
242,2020-10-30,1,2,0,1.167
243,2020-10-29,4,3,0,1.286
244,2020-10-28,0,0,1,-1.5
245,2020-10-27,7,10,3,0.8
246,2020-10-26,1,3,1,0.6
247,2020-10-25,2,2,0,1.25
248,2020-10-24,2,1,0,1.333
249,2020-10-23,2,0,0,1.5
250,2020-10-22,2,2,0,1.25
251,2020-10-21,2,1,0,1.333
252,2020-10-20,1,3,1,0.6
253,2020-10-19,3,2,0,1.3
254,2020-10-18,0,1,0,1.0
255,2020-10-17,0,1,0,1.0
256,2020-10-16,13,1,1,1.267
257,2020-10-15,1,1,0,1.25
258,2020-10-14,2,2,0,1.25
259,2020-10-13,1,3,0,1.125
260,2020-10-12,2,1,1,0.625
261,2020-10-11,3,1,0,1.375
262,2020-10-09,1,1,0,1.25
263,2020-10-08,0,1,0,1.0
264,2020-10-07,6,3,0,1.333
265,2020-10-06,4,3,0,1.286
266,2020-10-05,4,0,2,0.5
267,2020-10-04,1,2,0,1.167
268,2020-10-03,0,1,0,1.0
269,2020-10-02,2,2,0,1.25
270,2020-10-01,1,4,0,1.1
271,2020-09-30,5,2,1,1.0
272,2020-09-29,2,1,0,1.333
273,2020-09-28,0,2,0,1.0
274,2020-09-27,2,0,0,1.5
275,2020-09-25,1,0,0,1.5
276,2020-09-24,1,1,0,1.25
277,2020-09-23,3,2,0,1.3
278,2020-09-22,3,2,0,1.3
279,2020-09-21,1,3,0,1.125
280,2020-09-20,1,0,0,1.5
281,2020-09-19,0,2,0,1.0
282,2020-09-18,1,1,0,1.25
283,2020-09-17,2,2,0,1.25
284,2020-09-16,2,1,0,1.333
285,2020-09-15,4,2,0,1.333
286,2020-09-14,6,6,0,1.25
287,2020-09-13,5,2,0,1.357
288,2020-09-12,1,0,0,1.5
289,2020-09-11,0,1,1,-0.25
290,2020-09-10,3,2,0,1.3
291,2020-09-09,6,6,0,1.25
292,2020-09-08,4,1,0,1.4
293,2020-09-07,0,1,0,1.0
294,2020-09-06,3,0,0,1.5
295,2020-09-05,0,1,0,1.0
296,2020-09-04,2,2,0,1.25
297,2020-09-03,6,2,0,1.375
298,2020-09-02,1,1,1,0.333
299,2020-09-01,2,2,0,1.25
300,2020-08-31,2,4,0,1.167
301,2020-08-30,1,2,0,1.167
302,2020-08-28,0,2,0,1.0
303,2020-08-27,1,1,2,-0.125
304,2020-08-26,4,3,0,1.286
305,2020-08-25,0,3,1,0.375
306,2020-08-24,3,2,1,0.833
307,2020-08-21,7,0,0,1.5
308,2020-08-20,4,2,0,1.333
309,2020-08-19,1,1,0,1.25
310,2020-08-18,1,0,0,1.5
311,2020-08-16,2,0,0,1.5
312,2020-08-14,1,2,0,1.167
313,2020-08-13,1,3,0,1.125
314,2020-08-12,0,0,1,-1.5
315,2020-08-11,4,0,0,1.5
316,2020-08-10,3,1,0,1.375
317,2020-08-07,6,1,0,1.429
318,2020-08-06,1,3,0,1.125
319,2020-08-05,3,1,0,1.375
320,2020-08-04,1,1,0,1.25
321,2020-08-03,1,1,0,1.25
322,2020-08-02,1,2,0,1.167
323,2020-08-01,2,0,0,1.5
324,2020-07-31,1,2,0,1.167
325,2020-07-30,3,0,0,1.5
326,2020-07-29,1,3,0,1.125
327,2020-07-28,15,5,3,1.0
328,2020-07-27,7,2,1,1.1
329,2020-07-26,0,2,0,1.0
330,2020-07-25,1,0,0,1.5
331,2020-07-24,1,2,0,1.167
332,2020-07-23,1,3,0,1.125
333,2020-07-22,18,6,0,1.375
334,2020-07-21,2,4,0,1.167
335,2020-07-20,11,3,0,1.393
336,2020-07-19,0,1,0,1.0
337,2020-07-18,1,1,0,1.25
338,2020-07-17,6,1,0,1.429
339,2020-07-15,1,3,0,1.125
340,2020-07-14,4,1,0,1.4
341,2020-07-13,9,3,1,1.154
342,2020-07-11,0,2,0,1.0
343,2020-07-10,2,0,0,1.5
344,2020-07-09,2,2,0,1.25
345,2020-07-08,1,1,1,0.333
346,2020-07-07,2,2,1,0.7
347,2020-07-06,0,2,0,1.0
348,2020-07-03,1,1,0,1.25
349,2020-07-02,2,1,0,1.333
350,2020-07-01,17,4,0,1.405
351,2020-06-30,0,2,0,1.0
352,2020-06-29,2,2,1,0.7
353,2020-06-28,0,1,0,1.0
354,2020-06-27,0,1,0,1.0
355,2020-06-26,1,1,0,1.25
356,2020-06-25,0,2,1,0.167
357,2020-06-24,0,1,0,1.0
358,2020-06-23,0,3,0,1.0
359,2020-06-22,1,1,0,1.25
360,2020-06-20,0,2,0,1.0
361,2020-06-18,1,2,0,1.167
362,2020-06-17,1,0,0,1.5
363,2020-06-16,1,1,0,1.25
364,2020-06-15,0,1,0,1.0
365,2020-06-11,0,1,0,1.0
366,2020-06-10,0,0,1,-1.5
367,2020-06-09,0,1,0,1.0
368,2020-06-08,2,0,1,0.5
369,2020-06-06,1,0,0,1.5
370,2020-06-05,0,2,0,1.0
371,2020-06-04,0,3,0,1.0
372,2020-06-03,1,2,1,0.5
373,2020-06-02,2,0,1,0.5
374,2020-06-01,0,3,8,-0.818
375,2020-05-31,0,0,1,-1.5
376,2020-05-30,1,0,0,1.5
377,2020-05-29,1,0,3,-0.75
378,2020-05-28,0,2,1,0.167
379,2020-05-26,0,1,0,1.0
380,2020-05-24,1,0,0,1.5
381,2020-05-22,1,3,0,1.125
382,2020-05-21,2,1,0,1.333
383,2020-05-20,1,1,0,1.25
384,2020-05-19,1,0,0,1.5
385,2020-05-18,2,0,0,1.5
386,2020-05-17,0,1,0,1.0
387,2020-05-16,1,0,0,1.5
388,2020-05-15,1,1,0,1.25
389,2020-05-14,1,0,0,1.5
390,2020-05-13,1,1,0,1.25
391,2020-05-12,2,0,0,1.5
392,2020-05-11,1,0,0,1.5
393,2020-05-10,0,2,0,1.0
394,2020-05-09,0,1,0,1.0
395,2020-05-08,1,0,1,0.0
396,2020-05-06,1,0,0,1.5
397,2020-05-05,12,3,0,1.4
398,2020-05-03,0,1,0,1.0
399,2020-05-01,0,1,0,1.0
400,2020-04-30,1,0,0,1.5
401,2020-04-29,1,2,1,0.5
402,2020-04-28,6,5,2,0.846
403,2020-04-27,2,2,1,0.7
404,2020-04-26,0,1,0,1.0
405,2020-04-25,0,1,0,1.0
406,2020-04-24,1,0,0,1.5
407,2020-04-23,2,1,0,1.333
408,2020-04-22,2,1,0,1.333
409,2020-04-21,0,1,0,1.0
410,2020-04-17,1,0,0,1.5
411,2020-04-15,2,1,0,1.333
412,2020-04-14,1,1,0,1.25
413,2020-04-13,2,1,0,1.333
414,2020-04-11,1,0,0,1.5
415,2020-04-10,1,1,0,1.25
416,2020-04-09,9,3,0,1.375
417,2020-04-08,1,0,1,0.0
418,2020-04-06,0,1,0,1.0
419,2020-04-02,0,1,0,1.0
420,2020-04-01,1,1,0,1.25
421,2020-03-31,1,1,0,1.25
422,2020-03-30,2,1,0,1.333
423,2020-03-28,1,0,0,1.5
424,2020-03-27,1,1,0,1.25
425,2020-03-26,2,2,0,1.25
426,2020-03-25,1,3,0,1.125
427,2020-03-24,0,1,0,1.0
428,2020-03-23,0,1,0,1.0
429,2020-03-22,1,0,0,1.5
430,2020-03-21,1,0,0,1.5
431,2020-03-20,2,0,0,1.5
432,2020-03-19,1,1,0,1.25
433,2020-03-18,0,1,0,1.0
434,2020-03-17,6,2,0,1.375
435,2020-03-16,2,0,1,0.5
436,2020-03-13,0,4,0,1.0
437,2020-03-12,0,1,0,1.0
438,2020-03-11,0,0,1,-1.5
