,0,1,2,3,4
0,2021-07-15,3,1,5,-0.222
1,2021-07-14,5,2,2,0.722
2,2021-07-13,9,7,9,0.28
3,2021-07-12,7,1,13,-0.381
4,2021-07-10,0,0,1,-1.5
5,2021-07-09,4,1,3,0.313
6,2021-07-08,6,4,8,0.056
7,2021-07-07,4,1,6,-0.182
8,2021-07-06,6,1,3,0.55
9,2021-07-05,1,1,0,1.25
10,2021-07-04,1,0,0,1.5
11,2021-07-03,1,0,0,1.5
12,2021-07-02,17,11,5,0.879
13,2021-07-01,5,2,4,0.318
14,2021-06-30,8,3,0,1.364
15,2021-06-29,5,7,3,0.667
16,2021-06-28,4,4,11,-0.342
17,2021-06-27,1,0,2,-0.5
18,2021-06-26,2,0,5,-0.643
19,2021-06-25,6,4,1,1.045
20,2021-06-24,13,5,1,1.211
21,2021-06-23,14,1,1,1.281
22,2021-06-22,1,1,1,0.333
23,2021-06-21,7,1,1,1.111
24,2021-06-20,2,0,0,1.5
25,2021-06-19,0,0,1,-1.5
26,2021-06-18,2,1,3,-0.083
27,2021-06-17,6,3,2,0.818
28,2021-06-16,8,2,1,1.136
29,2021-06-15,3,1,1,0.8
30,2021-06-14,11,1,3,0.867
31,2021-06-13,7,1,0,1.438
32,2021-06-11,13,8,6,0.685
33,2021-06-10,6,5,0,1.273
34,2021-06-09,0,4,2,0.167
35,2021-06-08,11,5,2,1.028
36,2021-06-07,3,6,12,-0.357
37,2021-06-06,1,2,5,-0.5
38,2021-06-05,0,0,1,-1.5
39,2021-06-04,6,2,3,0.591
40,2021-06-03,3,6,18,-0.611
41,2021-06-02,6,7,21,-0.456
42,2021-06-01,5,2,13,-0.5
43,2021-05-31,0,0,2,-1.5
44,2021-05-30,0,1,0,1.0
45,2021-05-29,1,2,0,1.167
46,2021-05-28,3,2,4,0.056
47,2021-05-27,5,8,3,0.688
48,2021-05-26,5,12,4,0.643
49,2021-05-25,2,6,4,0.25
50,2021-05-24,7,1,6,0.179
51,2021-05-23,0,1,1,-0.25
52,2021-05-22,1,0,1,0.0
53,2021-05-21,9,4,3,0.813
54,2021-05-20,9,5,3,0.824
55,2021-05-19,6,7,6,0.368
56,2021-05-18,5,5,16,-0.442
57,2021-05-17,5,9,10,0.062
58,2021-05-16,1,0,6,-1.071
59,2021-05-15,2,3,1,0.75
60,2021-05-14,1,2,3,-0.167
61,2021-05-13,3,4,14,-0.595
62,2021-05-12,6,3,27,-0.792
63,2021-05-11,1,6,16,-0.717
64,2021-05-10,4,9,7,0.225
65,2021-05-07,4,6,4,0.429
66,2021-05-06,5,3,4,0.375
67,2021-05-05,4,1,1,0.917
68,2021-05-04,5,2,7,-0.071
69,2021-05-03,4,3,5,0.125
70,2021-05-02,1,2,1,0.5
71,2021-05-01,2,2,0,1.25
72,2021-04-30,3,4,1,0.875
73,2021-04-29,4,4,3,0.5
74,2021-04-28,6,3,10,-0.158
75,2021-04-27,14,9,18,0.073
76,2021-04-26,34,28,13,0.793
77,2021-04-25,4,2,0,1.333
78,2021-04-24,1,0,0,1.5
79,2021-04-23,1,12,5,0.333
80,2021-04-22,3,5,10,-0.306
81,2021-04-21,4,7,7,0.139
82,2021-04-20,4,5,14,-0.435
83,2021-04-19,4,6,30,-0.825
84,2021-04-18,1,1,9,-1.0
85,2021-04-16,1,4,2,0.357
86,2021-04-15,3,0,0,1.5
87,2021-04-14,6,3,1,1.05
88,2021-04-13,9,3,3,0.8
89,2021-04-12,11,3,0,1.393
90,2021-04-11,1,0,0,1.5
91,2021-04-09,3,5,4,0.292
92,2021-04-08,8,4,5,0.5
93,2021-04-07,8,4,2,0.929
94,2021-04-06,8,2,1,1.136
95,2021-04-05,28,3,3,1.191
96,2021-04-04,5,1,1,1.0
97,2021-04-03,2,0,3,-0.3
98,2021-04-02,14,4,0,1.389
99,2021-04-01,10,2,2,1.0
100,2021-03-31,9,2,1,1.167
101,2021-03-30,4,5,3,0.542
102,2021-03-29,3,7,5,0.267
103,2021-03-27,2,1,0,1.333
104,2021-03-26,2,4,1,0.786
105,2021-03-25,4,4,4,0.333
106,2021-03-24,22,6,6,0.882
107,2021-03-23,3,1,5,-0.222
108,2021-03-22,16,1,5,0.795
109,2021-03-20,3,1,3,0.143
110,2021-03-19,3,1,15,-0.895
111,2021-03-18,3,1,3,0.143
112,2021-03-17,1,1,6,-0.813
113,2021-03-16,2,2,4,-0.125
114,2021-03-15,7,18,6,0.629
115,2021-03-14,0,0,1,-1.5
116,2021-03-13,3,0,2,0.3
117,2021-03-12,6,6,11,-0.065
118,2021-03-11,7,7,3,0.765
119,2021-03-10,12,5,3,0.925
120,2021-03-09,27,9,2,1.224
121,2021-03-08,8,6,7,0.357
122,2021-03-07,3,3,3,0.333
123,2021-03-06,2,1,0,1.333
124,2021-03-05,11,7,5,0.696
125,2021-03-04,5,11,7,0.348
126,2021-03-03,8,5,2,0.933
127,2021-03-02,6,5,3,0.679
128,2021-03-01,6,1,2,0.778
129,2021-02-27,2,0,0,1.5
130,2021-02-26,1,5,4,0.05
131,2021-02-25,4,10,7,0.262
132,2021-02-24,8,2,3,0.731
133,2021-02-23,2,5,27,-0.956
134,2021-02-22,7,2,10,-0.132
135,2021-02-21,1,2,2,0.1
136,2021-02-20,1,0,0,1.5
137,2021-02-19,4,4,2,0.7
138,2021-02-18,4,10,3,0.676
139,2021-02-17,3,3,1,0.857
140,2021-02-16,8,9,2,0.947
141,2021-02-15,1,2,0,1.167
142,2021-02-14,0,2,0,1.0
143,2021-02-13,3,1,0,1.375
144,2021-02-12,4,5,2,0.727
145,2021-02-11,4,12,1,0.971
146,2021-02-10,7,4,4,0.567
147,2021-02-09,11,12,6,0.672
